"season","mnth","day","hr","holiday","weekday","workingday","weathersit","temp","atemp","hum","windspeed","bikers"
1,"Jan",1,"0",0,6,0,"clear",0.24,0.2879,0.81,0,16
1,"Jan",1,"1",0,6,0,"clear",0.22,0.2727,0.8,0,40
1,"Jan",1,"2",0,6,0,"clear",0.22,0.2727,0.8,0,32
1,"Jan",1,"3",0,6,0,"clear",0.24,0.2879,0.75,0,13
1,"Jan",1,"4",0,6,0,"clear",0.24,0.2879,0.75,0,1
1,"Jan",1,"5",0,6,0,"cloudy/misty",0.24,0.2576,0.75,0.0896,1
1,"Jan",1,"6",0,6,0,"clear",0.22,0.2727,0.8,0,2
1,"Jan",1,"7",0,6,0,"clear",0.2,0.2576,0.86,0,3
1,"Jan",1,"8",0,6,0,"clear",0.24,0.2879,0.75,0,8
1,"Jan",1,"9",0,6,0,"clear",0.32,0.3485,0.76,0,14
1,"Jan",1,"10",0,6,0,"clear",0.38,0.3939,0.76,0.2537,36
1,"Jan",1,"11",0,6,0,"clear",0.36,0.3333,0.81,0.2836,56
1,"Jan",1,"12",0,6,0,"clear",0.42,0.4242,0.77,0.2836,84
1,"Jan",1,"13",0,6,0,"cloudy/misty",0.46,0.4545,0.72,0.2985,94
1,"Jan",1,"14",0,6,0,"cloudy/misty",0.46,0.4545,0.72,0.2836,106
1,"Jan",1,"15",0,6,0,"cloudy/misty",0.44,0.4394,0.77,0.2985,110
1,"Jan",1,"16",0,6,0,"cloudy/misty",0.42,0.4242,0.82,0.2985,93
1,"Jan",1,"17",0,6,0,"cloudy/misty",0.44,0.4394,0.82,0.2836,67
1,"Jan",1,"18",0,6,0,"light rain/snow",0.42,0.4242,0.88,0.2537,35
1,"Jan",1,"19",0,6,0,"light rain/snow",0.42,0.4242,0.88,0.2537,37
1,"Jan",1,"20",0,6,0,"cloudy/misty",0.4,0.4091,0.87,0.2537,36
1,"Jan",1,"21",0,6,0,"cloudy/misty",0.4,0.4091,0.87,0.194,34
1,"Jan",1,"22",0,6,0,"cloudy/misty",0.4,0.4091,0.94,0.2239,28
1,"Jan",1,"23",0,6,0,"cloudy/misty",0.46,0.4545,0.88,0.2985,39
1,"Jan",2,"0",0,0,0,"cloudy/misty",0.46,0.4545,0.88,0.2985,17
1,"Jan",2,"1",0,0,0,"cloudy/misty",0.44,0.4394,0.94,0.2537,17
1,"Jan",2,"2",0,0,0,"cloudy/misty",0.42,0.4242,1,0.2836,9
1,"Jan",2,"3",0,0,0,"cloudy/misty",0.46,0.4545,0.94,0.194,6
1,"Jan",2,"4",0,0,0,"cloudy/misty",0.46,0.4545,0.94,0.194,3
1,"Jan",2,"6",0,0,0,"light rain/snow",0.42,0.4242,0.77,0.2985,2
