"brand","model","model_year","milage","fuel_type","engine","transmission","ext_col","int_col","accident","clean_title","price"
"Ford","Utility Police Interceptor Base","2013","51,000 mi.","E85 Flex Fuel","300.0HP 3.7L V6 Cylinder Engine Flex Fuel Capability","6-Speed A/T","Black","Black","At least 1 accident or damage reported","Yes",10300
"Hyundai","Palisade SEL","2021","34,742 mi.","Gasoline","3.8L V6 24V GDI DOHC","8-Speed Automatic","Moonlight Cloud","Gray","At least 1 accident or damage reported","Yes",38005
"Lexus","RX 350 RX 350","2022","22,372 mi.","Gasoline","3.5 Liter DOHC","Automatic","Blue","Black","None reported","No",54598
"INFINITI","Q50 Hybrid Sport","2015","88,900 mi.","Hybrid","354.0HP 3.5L V6 Cylinder Engine Gas/Electric Hybrid","7-Speed A/T","Black","Black","None reported","Yes",15500
"Audi","Q3 45 S line Premium Plus","2021","9,835 mi.","Gasoline","2.0L I4 16V GDI DOHC Turbo","8-Speed Automatic","Glacier White Metallic","Black","None reported","No",34999
"Acura","ILX 2.4L","2016","136,397 mi.","Gasoline","2.4 Liter","F","Silver","Ebony.","None reported","No",14798
"Audi","S3 2.0T Premium Plus","2017","84,000 mi.","Gasoline","292.0HP 2.0L 4 Cylinder Engine Gasoline Fuel","6-Speed A/T","Blue","Black","None reported","Yes",31000
"BMW","740 iL","2001","242,000 mi.","Gasoline","282.0HP 4.4L 8 Cylinder Engine Gasoline Fuel","A/T","Green","Green","None reported","Yes",7300
"Lexus","RC 350 F Sport","2021","23,436 mi.","Gasoline","311.0HP 3.5L V6 Cylinder Engine Gasoline Fuel","6-Speed A/T","Black","Black","None reported","Yes",41927
"Tesla","Model X Long Range Plus","2020","34,000 mi.","Other","534.0HP Electric Motor Electric Fuel System","A/T","Black","Black","None reported","Yes",69950
"Land","Rover Range Rover Sport 3.0 Supercharged HST","2021","27,608 mi.","Gasoline","V6","Automatic","Fuji White","Pimento / Ebony","None reported","No",73897
"Aston","Martin DBS Superleggera","2019","22,770 mi.","Gasoline","715.0HP 5.2L 12 Cylinder Engine Gasoline Fuel","8-Speed A/T","Silver","Black","None reported","Yes",184606
"Toyota","Supra 3.0 Premium","2021","12,500 mi.","Gasoline","382.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel","A/T","Yellow","Black","None reported","Yes",53500
"Lincoln","Aviator Reserve AWD","2022","18,196 mi.","Gasoline","400.0HP 3.0L V6 Cylinder Engine Gasoline Fuel","Transmission w/Dual Shift Mode","Black","Brown","None reported","Yes",62000
"Jaguar","F-TYPE","2020","15,903 mi.","Gasoline","2.0 Liter Supercharged","Automatic","Silver","Black","None reported","No",47998
"Land","Rover LR4 HSE","2013","79,800 mi.","Gasoline","375.0HP 5.0L 8 Cylinder Engine Gasoline Fuel","A/T","White","Black","None reported","Yes",29990
"Mercedes-Benz","Metris Base","2021","1,685 mi.","Gasoline","2.0L I4 16V GDI DOHC Turbo","9-Speed Automatic","Gray","White","None reported","Yes",250000
"Dodge","Challenger SXT","2013","61,074 mi.","Gasoline","305.0HP 3.6L V6 Cylinder Engine Gasoline Fuel","A/T","Black","Gray","None reported","Yes",16800
"Nissan","350Z Enthusiast","2003","74,000 mi.","Gasoline","287.0HP 3.5L V6 Cylinder Engine Gasoline Fuel","6-Speed M/T","Purple","–","None reported","Yes",11000
"Jaguar","F-TYPE R","2018","35,250 mi.","Gasoline","550.0HP 5.0L 8 Cylinder Engine Gasoline Fuel","8-Speed A/T","Green","Black","None reported","Yes",68750
"Genesis","GV70 3.5T Sport","2023","5,400 mi.","Gasoline","375.0HP 3.5L V6 Cylinder Engine Gasoline Fuel","8-Speed A/T","Green","Beige","None reported","No",60000
"Chevrolet","S-10 LS","2000","133,510 mi.","E85 Flex Fuel","120.0HP 2.2L 4 Cylinder Engine Flex Fuel Capability","A/T","Blue","Black","None reported","Yes",4500
"BMW","440 Gran Coupe 440i xDrive","2020","25,990 mi.","Gasoline","3.0 Liter Turbo","Automatic","White","Beige","None reported","No",38598
"Ford","F-150 XLT","2023","2,823 mi.","Gasoline","3.5L V6 24V PDI DOHC Twin Turbo","Automatic","Iconic Silver Metallic","Black","None reported","Yes",58504
"Chevrolet","Suburban RST","2021","52,000 mi.","Gasoline","355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel","10-Speed A/T","Blue","Black","None reported","Yes",61000
"Hyundai","Elantra N Base","2022","11,650 mi.","Gasoline","276.0HP 2.0L 4 Cylinder Engine Gasoline Fuel","Transmission w/Dual Shift Mode","Black","Black","None reported","Yes",32300
"Nissan","Sentra SR","2016","96,541 mi.","Gasoline","1.8 Liter","Automatic","Blue","Black","None reported","No",13998
"Mercedes-Benz","AMG CLA 45 Base 4MATIC","2021","17,500 mi.","Gasoline","382.0HP 2.0L 4 Cylinder Engine Gasoline Fuel","A/T","Gray","Black","None reported","Yes",59995
"BMW","650 Gran Coupe i xDrive","2015","69,000 mi.","Gasoline","445.0HP 4.4L 8 Cylinder Engine Gasoline Fuel","8-Speed A/T","Gray","Black","None reported","Yes",25700
"Audi","Q5 2.0T Premium Plus","2017","81,880 mi.","E85 Flex Fuel","2.0L I4 16V GDI DOHC Turbo Flexible Fuel","8-Speed Automatic","Mythos Black Metallic","Black","None reported","Yes",21375
"Mercedes-Benz","AMG C 43 Base 4MATIC","2018","28,800 mi.","Gasoline","362.0HP 3.0L V6 Cylinder Engine Gasoline Fuel","9-Speed A/T","Silver","Black","None reported","Yes",48000
"Dodge","Ram 1500 Laramie Mega Cab","2006","300,183 mi.","Gasoline","345.0HP 5.7L 8 Cylinder Engine Gasoline Fuel","A/T","Silver","Gray","At least 1 accident or damage reported","Yes",10900
"BMW","i3 120Ah w/Range Extender","2020","35,035 mi.","Hybrid","120 AH","Automatic","Black","Black","None reported","No",24998
"Kia","Sorento SX","2011","171,000 mi.","Gasoline","276.0HP 3.5L V6 Cylinder Engine Gasoline Fuel","A/T","Black","Black","None reported","Yes",5999
"Lexus","LX 570 Base","2016","118,700 mi.","Gasoline","383.0HP 5.7L 8 Cylinder Engine Gasoline Fuel","8-Speed A/T","Black","Beige","None reported","Yes",46900
"Jeep","New Compass Trailhawk","2017","119,000 mi.","Gasoline","180.0HP 2.4L 4 Cylinder Engine Gasoline Fuel","A/T","Red","Black","None reported","Yes",15900
"BMW","340 i","2018","44,261 mi.","Gasoline","3.0 Liter Turbo","Automatic","Gray","Black","None reported","No",33598
"Audi","A4 2.0T Premium Plus quattro","2012","125,575 mi.","Gasoline","211.0HP 2.0L 4 Cylinder Engine Gasoline Fuel","8-Speed A/T","Silver","Black","None reported","Yes",8999
"Hyundai","Tucson SE","2007","16,200 mi.","Gasoline","173.0HP 2.7L V6 Cylinder Engine Gasoline Fuel","A/T","Gold","Beige","None reported","Yes",8200
"BMW","Z4 sDrive28i","2014","70,000 mi.","Gasoline","240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel","A/T","White","Beige","At least 1 accident or damage reported","Yes",20000
